algorithm,hit_rate,miss_rate,read_io,write_io,bufferpool_size,disk_size,total_time,num_operations
0,39061,60939,42798,18141,4000,10000,2.54,100000
0,79073,120927,84801,36126,4000,10000,5.69432,200000
0,398880,601120,420553,180567,4000,10000,33.3513,1000000
0,70633,29367,20606,8761,16000,20000,3.11458,100000
0,150596,49404,34465,14939,16000,20000,7.77195,200000
0,790088,209912,146584,63328,16000,20000,46.1553,1000000
0,36924,63076,44329,18747,80000,100000,0.0543341,100000
0,112145,87855,61588,26267,80000,100000,9.49018,200000
0,751941,248059,173385,74674,80000,100000,195.948,1000000
2,38935,61065,42865,18200,4000,10000,0.420829,100000
2,78614,121386,84972,36414,4000,10000,0.740234,200000
2,398885,601115,420244,180871,4000,10000,2.13907,1000000
2,70532,29468,20636,8832,16000,20000,0.666488,100000
2,150424,49576,34636,14940,16000,20000,0.735011,200000
2,790454,209546,146102,63444,16000,20000,1.44661,1000000
2,36924,63076,44329,18747,80000,100000,0.0548937,100000
2,112165,87835,61587,26248,80000,100000,6.73173,200000
2,752383,247617,173274,74343,80000,100000,21.3223,1000000
1,38887,61113,42905,18208,4000,10000,487.445,100000
1,78808,121192,84901,36291,4000,10000,913.383,200000
1,398856,601144,420597,180547,4000,10000,4296.8,1000000
1,70593,29407,20675,8732,16000,20000,448.659,100000
1,150568,49432,34654,14778,16000,20000,1211.73,200000
1,790253,209747,146874,62873,16000,20000,7294.49,1000000
1,36924,63076,44329,18747,80000,100000,0.0481421,100000
1,112130,87870,61576,26294,80000,100000,1497.83,200000
1,752247,247753,173306,74447,80000,100000,31668.7,1000000
